SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.16MT8.2726.SM.7IGLJ	GTEX-16MT8-2726-SM-7IGLJ	60-69	1	0.166676557465284	-0.0571219100955116
GTEX.16NGA.1026.SM.7KFS3	GTEX-16NGA-1026-SM-7KFS3	40-49	1	-0.536610496488581	-0.574473091687547
GTEX.16NPV.2626.SM.6M484	GTEX-16NPV-2626-SM-6M484	50-59	1	-0.257652052240181	-0.627070544854197
GTEX.16XZZ.2626.SM.6M47S	GTEX-16XZZ-2626-SM-6M47S	60-69	2	0.0825848192643761	-0.244728010831454
GTEX.178AV.1326.SM.6LPJX	GTEX-178AV-1326-SM-6LPJX	40-49	2	0.550191605525206	0.578459759370236
GTEX.17EUY.1826.SM.7DUEZ	GTEX-17EUY-1826-SM-7DUEZ	20-29	2	0.206107626979066	0.268843817092844
GTEX.17EVQ.1826.SM.7IGPH	GTEX-17EVQ-1826-SM-7IGPH	70-79	2	-0.233624572677525	-0.560456956699624
GTEX.17F96.2026.SM.79ON4	GTEX-17F96-2026-SM-79ON4	70-79	2	-0.433624074071297	-0.634252035285537
GTEX.17F98.1026.SM.7IGO8	GTEX-17F98-1026-SM-7IGO8	40-49	1	0.0488849696530086	-0.122787602288321
GTEX.17F9E.1826.SM.7IGMC	GTEX-17F9E-1826-SM-7IGMC	50-59	2	-0.280232734898095	-0.287348516747148
GTEX.17GQL.1526.SM.7LTAC	GTEX-17GQL-1526-SM-7LTAC	60-69	2	0.320516971462373	0.122588308242093
GTEX.17HGU.2426.SM.7EWDP	GTEX-17HGU-2426-SM-7EWDP	50-59	2	0.550008642486004	0.472874699991681
GTEX.17HHE.1826.SM.79OKE	GTEX-17HHE-1826-SM-79OKE	50-59	2	0.0707886917169014	0.291031643277279
GTEX.17HII.2726.SM.7MGVM	GTEX-17HII-2726-SM-7MGVM	50-59	2	-0.0522528228885277	-0.304467001451368
GTEX.17JCI.2626.SM.7EWE6	GTEX-17JCI-2626-SM-7EWE6	60-69	1	-0.170938036429346	-0.63410946506209
GTEX.17KNJ.1726.SM.7LG6A	GTEX-17KNJ-1726-SM-7LG6A	50-59	2	0.154477818788728	0.0233557511711477
GTEX.17MF6.2426.SM.7LTAM	GTEX-17MF6-2426-SM-7LTAM	40-49	2	-0.169128696645139	-0.434029750877486
GTEX.18A66.2426.SM.7KFSQ	GTEX-18A66-2426-SM-7KFSQ	60-69	2	0.261654300693855	0.233168055104335
