SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.13X6I.0926.SM.5LUAB	GTEX-13X6I-0926-SM-5LUAB	60-69	2	0.0429719548402414	-0.0383103414354562
GTEX.13X6K.1926.SM.5LU4O	GTEX-13X6K-1926-SM-5LU4O	60-69	1	-0.218154345131476	-0.235247860579016
GTEX.13YAN.1526.SM.5LU3E	GTEX-13YAN-1526-SM-5LU3E	60-69	2	-0.0699125467761083	-0.0814672276199959
GTEX.145MH.1026.SM.5Q5CI	GTEX-145MH-1026-SM-5Q5CI	50-59	2	-0.0967466828526149	-0.015606794412828
GTEX.145MO.1226.SM.5QGPC	GTEX-145MO-1226-SM-5QGPC	60-69	2	0.174532628337014	0.21282849715668
GTEX.146FH.1326.SM.5NQBI	GTEX-146FH-1326-SM-5NQBI	50-59	1	0.105944295110067	0.0557380800044076
GTEX.146FQ.0826.SM.5LUAJ	GTEX-146FQ-0826-SM-5LUAJ	30-39	2	0.160325578973788	0.10619019699553
GTEX.146FR.1026.SM.5NQ9T	GTEX-146FR-1026-SM-5NQ9T	60-69	1	0.174177898220568	0.250706292733862
GTEX.147F4.1026.SM.5Q5F9	GTEX-147F4-1026-SM-5Q5F9	50-59	2	-0.0177073588696465	-0.15941719472062
GTEX.1497J.1026.SM.5NQAV	GTEX-1497J-1026-SM-5NQAV	60-69	2	0.256419611628407	0.262154513207247
GTEX.14AS3.0526.SM.5QGQQ	GTEX-14AS3-0526-SM-5QGQQ	40-49	1	-0.0108058790173275	-0.0285805423693002
GTEX.14ASI.1126.SM.5QGPN	GTEX-14ASI-1126-SM-5QGPN	60-69	2	-0.0788275749802017	-0.213103686296638
GTEX.14B4R.0226.SM.5TDDO	GTEX-14B4R-0226-SM-5TDDO	30-39	2	-0.140043986505524	-0.0973522636463579
GTEX.14BIM.2626.SM.5S2OF	GTEX-14BIM-2626-SM-5S2OF	60-69	1	-0.204751236959238	-0.207675684979511
GTEX.14BMU.0326.SM.793DO	GTEX-14BMU-0326-SM-793DO	20-29	1	0.424246159991889	0.360195006865558
GTEX.14BMV.1226.SM.5TDDY	GTEX-14BMV-1226-SM-5TDDY	50-59	2	-0.200605043694506	-0.192450353729882
GTEX.14C39.0126.SM.6128R	GTEX-14C39-0126-SM-6128R	40-49	2	-0.0225507990767466	-0.0614128401467197
